node1,node2,length,startLoc,endLoc,startYear,endYear
21389,27141,0.019144436328709,other,other,1988.7743462486,1988.79349068493
18568,18569,5.0341,other,other,1988.78804068493,1993.82214068493
18568,18576,1.86623,other,other,1988.78804068493,1990.65427068493
27141,13389,26.6996600000001,other,other,1988.79349068493,2015.49315068493
27141,27142,4.59757,other,other,1988.79349068493,1993.39106068493
21390,7637,27.6285748341943,other,other,1988.86596068493,2016.49453551913
21390,21391,0.0669394958416234,other,other,1988.86596068493,1988.93290018077
21391,21392,0.0987292839313554,other,other,1988.93290018077,1989.0316294647
21391,25743,0.00448050415837287,other,other,1988.93290018077,1988.93738068493
25743,25744,7.66676,other,other,1988.93738068493,1996.60414068493
25743,25769,0.11333112501994,other,other,1988.93738068493,1989.05071180995
18697,18698,0.149944000991745,other,other,1988.95465668394,1989.10460068493
18697,18848,0.00891400099174433,other,other,1988.95465668394,1988.96357068493
18848,18849,1.66921000000001,other,other,1988.96357068493,1990.63278068493
18848,18854,1.44531000000001,other,other,1988.96357068493,1990.40888068493
21392,21393,0.0131412202270198,other,other,1989.0316294647,1989.04477068493
21392,22084,0.0131412202270198,other,other,1989.0316294647,1989.04477068493
21393,21394,9.42344,other,other,1989.04477068493,1998.46821068493
21393,21404,0.376582531869445,other,other,1989.04477068493,1989.4213532168
22084,22085,0.220623698869645,other,other,1989.04477068493,1989.2653943838
22084,23075,0.175348410558364,other,other,1989.04477068493,1989.22011909549
25769,25770,0.00428887498006247,other,other,1989.05071180995,1989.05500068493
25769,26071,0.00428887498006247,other,other,1989.05071180995,1989.05500068493
25770,25771,5.58318,other,other,1989.05500068493,1994.63818068493
25770,25777,1.71540625900938,other,other,1989.05500068493,1990.77040694394
26071,26072,0.0742428796305532,other,other,1989.05500068493,1989.12924356456
26071,26500,2.23431,other,other,1989.05500068493,1991.28931068493
13753,13754,5.79186,other,other,1989.07761068493,1994.86947068493
13753,13765,1.83341,other,other,1989.07761068493,1990.91102068493
18698,18699,2.7032,other,other,1989.10460068493,1991.80780068493
18698,18710,1.53835,other,other,1989.10460068493,1990.64295068493
26072,26073,0.151047120369448,other,other,1989.12924356456,1989.28029068493
26072,26498,0.0356771203694493,other,other,1989.12924356456,1989.16492068493
26498,12744,30.32823,other,other,1989.16492068493,2019.49315068493
26498,26499,4.05695,other,other,1989.16492068493,1993.22187068493
23075,23076,0.0307615894416386,other,other,1989.22011909549,1989.25088068493
23075,23735,0.00270193049775713,other,other,1989.22011909549,1989.22282102599
23735,23736,0.187565966818667,other,other,1989.22282102599,1989.41038699281
23735,25703,0.0280596589438815,other,other,1989.22282102599,1989.25088068493
18894,18895,2.07305,other,other,1989.22794068493,1991.30099068493
18894,18984,0.743450000000003,other,other,1989.22794068493,1989.97139068493
23076,23077,0.882210000000001,other,other,1989.25088068493,1990.13309068493
